sample_id,task_id,difficulty,gold_source,intended_error_type,gold_final_correct,gold_process_correct,gold_first_error_step,pred_process_correct,pred_first_error_step,pred_error_type,ann1_step,ann1_type,ann1_is_real_issue,ann2_step,ann2_type,ann2_is_real_issue,agreement,adjudicated_step,adjudicated_type,adjudicator_note,audit_note
C002,E01,easy,constructed,概念错误,True,False,S1,False,S1,概念错误,,,,,,,,,,,人工复核：代码原样保留参考解故答案正确，但 S1 关于负数与 0 的奇偶概念是错的。
C003,E01,easy,constructed,计算错误,False,False,S2,False,S2,条件遗漏,,,,,,,,,,,人工复核：S2 的折半换算把答案缩小一半，隐藏测试 [2] 期望 2 而代码给出 1，实现确实失败。
C004,E02,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，没有发现不成立的依据。
C005,E02,easy,constructed,条件遗漏,True,False,S1,False,S2,条件遗漏,,,,,,,,,,,人工复核：代码仍含 lower() 因而答案正确，但 S1 遗漏了大小写归一化这一必要条件。
C006,E02,easy,constructed,题意误读,False,False,S1,False,S2,条件遗漏,,,,,,,,,,,人工复核：数字被误当噪声剔除，隐藏测试 '0P' 期望 False 而代码返回 True，实现失败。
C007,E03,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，没有发现不成立的依据。
C008,E03,easy,constructed,幻觉,True,False,S1,True,,,,,,,,,,,,,人工复核：代码用哈希表不依赖有序性故答案正确，但 S1 的依据来自题目并不存在的保证。
C009,E03,easy,constructed,格式不符,False,False,S2,False,S2,条件遗漏,,,,,,,,,,,"人工复核：返回元组导致 ['0','1'] 一类的列表比较失败，隐藏测试 [3,3] 期望 [0,1] 而代码给出 (0,1)。"
C010,M01,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，没有发现不成立的依据。
C011,M01,medium,constructed,复杂度错误,True,False,S1,True,,,,,,,,,,,,,人工复核：代码仍先排序故答案正确，但 S1 对合并前提与复杂度的判断不成立。
C012,M01,medium,constructed,实现不一致,False,False,S2,False,S3,条件遗漏,,,,,,,,,,,"人工复核：步骤宣称取 max 而代码直接覆盖，隐藏测试 [[3,4],[1,10],[2,6]] 得到 [[1,4]]，实现与步骤皆错。"
C013,M02,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，没有发现不成立的依据。
C014,M02,medium,constructed,边界错误,True,False,S2,False,S2,条件遗漏,,,,,,,,,,,人工复核：代码仍带 nums[lo] == target 校验故答案正确，但 S2 漏掉了不存在的边界。
C015,M02,medium,constructed,跳步推导,False,False,S1,False,S2,条件遗漏,,,,,,,,,,,"人工复核：[2,2,2] 上 mid 先落到下标 1，代码返回 1 而期望 0，隐藏测试失败。"
C016,M03,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，没有发现不成立的依据。
C017,M03,medium,constructed,题意误读,True,False,S1,False,S1,题意误读,,,,,,,,,,,人工复核：代码处理的是连续子串故答案正确，但 S1 把题意读成了子序列。
C018,M03,medium,constructed,条件遗漏,False,False,S1,False,S2,条件遗漏,,,,,,,,,,,人工复核：'abba' 上 left 被拉回 1 得到窗口 'bba'，代码返回 3 而期望 2，隐藏测试失败。
C019,H01,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，没有发现不成立的依据。
C020,H01,hard,constructed,跳步推导,True,False,S2,False,S2,条件遗漏,,,,,,,,,,,人工复核：代码仍比较三种操作故答案正确，但 S2 的结论没有任何可验证的论证支撑。
C021,H01,hard,constructed,条件遗漏,False,False,S2,False,S2,条件遗漏,,,,,,,,,,,人工复核：转移式漏掉替换，'intention' 到 'execution' 得不到 5，隐藏测试失败。
C022,H02,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，没有发现不成立的依据。
C023,H02,hard,constructed,复杂度错误,True,False,S3,True,,,,,,,,,,,,,人工复核：代码复杂度不变故答案正确，但 S3 对代价的估计不成立。
C024,H02,hard,constructed,概念错误,False,False,S1,False,S1,概念错误,,,,,,,,,,,"人工复核：贪心在 [[1,10,20],[2,3,7],[3,4,8],[4,5,9]] 上只得 20，期望 24，隐藏测试失败。"
C025,H03,hard,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，没有发现不成立的依据。
C026,H03,hard,constructed,实现不一致,True,False,S2,True,,,,,,,,,,,,,人工复核：代码仍在收缩取最短故答案正确，但 S2 描述的是代码并未实现的早退逻辑。
C027,H03,hard,constructed,计算错误,False,False,S1,False,S3,条件遗漏,,,,,,,,,,,人工复核：'bba' 上 formed 被重复累加，代码返回 'b' 而期望 'ba'，隐藏测试失败。
C028,E04,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，没有发现不成立的依据。
C029,E04,easy,constructed,边界错误,True,False,S1,False,S1,边界错误,,,,,,,,,,,人工复核：代码仍用 lo <= x <= hi 故答案正确，但 S1 的端点处理是错的。
C030,E04,easy,constructed,题意误读,False,False,S1,False,S1,边界错误,,,,,,,,,,,"人工复核：开区间判断在 [2],2,2 上返回 0 而期望 1，隐藏测试失败。"
C031,E05,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，没有发现不成立的依据。
C032,E05,easy,constructed,幻觉,True,False,S1,True,,,,,,,,,,,,,人工复核：代码不依赖该前提故答案正确，但 S1 的依据来自题目并不存在的约束。
C033,E05,easy,constructed,格式不符,False,False,S3,False,S3,条件遗漏,,,,,,,,,,,人工复核：返回下标列表使 `is False` 判定全部失败，隐藏测试 [] 期望 False 而代码给出 []。
C034,E06,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，没有发现不成立的依据。
C035,E06,easy,constructed,概念错误,True,False,S1,True,,,,,,,,,,,,,人工复核：代码保留大小写故 'A' 与 'a' 判为 False 答案正确，但 S1 的字符概念是错的。
C036,E06,easy,constructed,复杂度错误,False,False,S2,False,S3,条件遗漏,,,,,,,,,,,人工复核：'aab' 与 'ab' 上逐个删除后 rest 为空，代码返回 True 而期望 False，隐藏测试失败。
C037,E07,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，没有发现不成立的依据。
C038,E07,easy,constructed,计算错误,True,False,S2,True,,,,,,,,,,,,,人工复核：代码仍用正确公式故答案正确，但 S2 的换算错了一位。
C039,E07,easy,constructed,格式不符,False,False,S3,False,S3,条件遗漏,,,,,,,,,,,"人工复核：返回元组后与期望列表比较失败，隐藏测试 [5],[(0,0)] 期望 [5] 而代码给出 (5,)。"
C040,E08,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，没有发现不成立的依据。
C041,E08,easy,constructed,幻觉,True,False,S1,False,S2,条件遗漏,,,,,,,,,,,人工复核：代码用无参 split 故答案正确，但 S1 的前提是凭空添加的。
C042,E08,easy,constructed,跳步推导,False,False,S1,False,S2,条件遗漏,,,,,,,,,,,人工复核：'a  b   c' 上代码返回 'a b  c' 而期望 'a b c'，隐藏测试失败。
C043,E09,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，没有发现不成立的依据。
C044,E09,easy,constructed,实现不一致,True,False,S2,True,,,,,,,,,,,,,人工复核：代码逐笔模拟故答案正确，但 S2 描述的两批结算并不是代码的做法。
C045,E09,easy,constructed,边界错误,False,False,S2,True,CODE,实现不一致,,,,,,,,,,,"人工复核：[100,-100,100] 上余额清零那笔被拒，代码返回 200 而期望 100，隐藏测试失败。"
C046,E10,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C047,E10,easy,constructed,概念错误,True,False,S1,True,,,,,,,,,,,,,人工复核：S1 把括号匹配误解为数量配平，代码正确但依据不成立。
C048,E10,easy,constructed,条件遗漏,False,False,S3,False,S3,条件遗漏,,,,,,,,,,,人工复核：S3 遗漏了左括号必须全部闭合的要求，实现也不再检查残留左括号。
C049,E11,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C050,E11,easy,constructed,计算错误,True,False,S2,False,S3,条件遗漏,,,,,,,,,,,人工复核：S2 的计数公式少了高次幂的额外贡献，与正确实现给出的结果不符。
C051,E11,easy,constructed,复杂度错误,False,False,S2,False,S3,条件遗漏,,,,,,,,,,,人工复核：S2 把 O(log n) 的循环误判为常数次运算，据此只做一次整除导致漏算。
C052,E12,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C053,E12,easy,constructed,复杂度错误,True,False,S3,True,,,,,,,,,,,,,人工复核：S3 的复杂度结论错误，排序本身仍有 O(n log n) 的比较开销。
C054,E12,easy,constructed,题意误读,False,False,S1,True,CODE,实现不一致,,,,,,,,,,,人工复核：S1 把排序依据误当成返回值内容，实现返回的是绝对值而非原元素。
C055,E13,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C056,E13,easy,constructed,条件遗漏,True,False,S1,True,,,,,,,,,,,,,人工复核：S1 遗漏了 k 需要先对 n 取模这一必要条件，只是靠实现的取模才得到正确结果。
C057,E13,easy,constructed,边界错误,False,False,S3,True,CODE,实现不一致,,,,,,,,,,,人工复核：S3 对空列表边界的判断错误，实现在空输入上取模会直接抛异常。
C058,E14,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C059,E14,easy,constructed,跳步推导,True,False,S2,True,,,,,,,,,,,,,人工复核：S2 用「自然就是最左」跳过了最关键的论证，属于无依据的关键结论。
C060,E14,easy,constructed,实现不一致,False,False,S2,True,CODE,实现不一致,,,,,,,,,,,人工复核：S2 描述的分支条件与代码中的判断不符，步骤并未描述代码的实际行为。
C061,E15,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C062,E15,easy,constructed,题意误读,True,False,S2,True,,,,,,,,,,,,,人工复核：S2 把「相邻差的最大值」读成了数组极差，与题意不符。
C063,E15,easy,constructed,实现不一致,False,False,S2,True,CODE,实现不一致,,,,,,,,,,,人工复核：S2 承诺的排序在代码中缺失，步骤描述的算法与实现不符。
C064,E16,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C065,E16,easy,constructed,幻觉,True,False,S1,False,S3,条件遗漏,,,,,,,,,,,人工复核：S1 声称的输入有序保证在题面中并不存在，属于凭空虚构的前提。
C066,E16,easy,constructed,概念错误,False,False,S1,True,CODE,实现不一致,,,,,,,,,,,人工复核：S1 对「不同元素」的概念理解错误，统计的是相邻变化次数而非去重个数。
C067,E17,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C068,E17,easy,constructed,格式不符,True,False,S3,True,,,,,,,,,,,,,人工复核：S3 描述的返回类型与函数签名要求不符，属于返回格式错误。
C069,E17,easy,constructed,边界错误,False,False,S3,True,CODE,实现不一致,,,,,,,,,,,人工复核：S3 对空列表边界的处理错误，实现在该边界上返回 0 而非 None。
C070,E18,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C071,E18,easy,constructed,跳步推导,True,False,S1,True,,,,,,,,,,,,,人工复核：S1 以「标准结论」为由跳过了末项表达式这一关键推导。
C072,E18,easy,constructed,计算错误,False,False,S1,False,S1,计算错误,,,,,,,,,,,人工复核：S1 多算了一个公差，n 为 1 时末项应等于首项，代入后结果明显偏离。
C073,E19,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C074,E19,easy,constructed,幻觉,True,False,S2,False,S3,条件遗漏,,,,,,,,,,,人工复核：S2 虚构了题面没有的输入限制，大写元音会被漏掉。
C075,E19,easy,constructed,题意误读,False,False,S1,False,S3,条件遗漏,,,,,,,,,,,人工复核：S1 把反转对象搞错，实现移动了本应固定的非元音字符。
C076,E20,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C077,E20,easy,constructed,边界错误,True,False,S3,False,S3,边界错误,,,,,,,,,,,人工复核：S3 对空矩阵这一边界的判定与题面相反，应为 True。
C078,E20,easy,constructed,条件遗漏,False,False,S1,True,CODE,实现不一致,,,,,,,,,,,人工复核：S1 遗漏了「所有对称位置都要相等」和「非方阵返回 False」两项必要条件。
C079,E21,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C080,E21,easy,constructed,计算错误,True,False,S3,False,S3,条件遗漏,,,,,,,,,,,人工复核：S3 的计数公式不成立，个数只能逐个判断后累加。
C081,E21,easy,constructed,概念错误,False,False,S1,False,S3,条件遗漏,,,,,,,,,,,人工复核：S1 把「k 的倍数」的概念套到了非正数上，忽略了严格大于 0 的限定。
C082,E22,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C083,E22,easy,constructed,幻觉,True,False,S2,True,,,,,,,,,,,,,人工复核：S2 虚构了题面没有的输入有序保证，逆映射不能按同序生成。
C084,E22,easy,constructed,实现不一致,False,False,S1,True,CODE,实现不一致,,,,,,,,,,,人工复核：S1 描述的写入方向与代码实际执行的赋值相反，步骤与实现不一致。
C085,E23,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C086,E23,easy,constructed,跳步推导,True,False,S2,False,S3,条件遗漏,,,,,,,,,,,人工复核：S2 以「显然成立」跳过了核心正确性的论证。
C087,E23,easy,constructed,格式不符,False,False,S1,False,S3,条件遗漏,,,,,,,,,,,人工复核：S1 描述的返回类型与签名要求的整数不符，实现返回的是列表。
C088,E24,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考解逐条对应，未发现不成立的依据。
C089,E24,easy,constructed,复杂度错误,True,False,S3,True,,,,,,,,,,,,,人工复核：S3 的复杂度结论忽略了排序开销，把整体说成 O(log n) 并不成立。
C090,E24,easy,constructed,格式不符,False,False,S3,False,S3,条件遗漏,,,,,,,,,,,人工复核：S3 描述的返回形状与签名要求的整数计数不符。
C091,E25,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C092,E25,easy,constructed,幻觉,True,False,S1,True,,,,,,,,,,,,,人工复核：S1 凭空断言了字典自动补 0 的行为，属于虚构的语言特性，代码仍使用 get 所以结果不受影响。
C093,E25,easy,constructed,格式不符,False,False,S3,False,S3,条件遗漏,,,,,,,,,,,"人工复核：返回结构被改成列表，与题面约定的 dict[str, int] 不符，隐藏测试必然失败。"
C094,E26,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C095,E26,easy,constructed,计算错误,True,False,S2,False,S2,计算错误,,,,,,,,,,,"人工复核：S2 的分段点算错，示例把右移一位算成了 [2,3,4,1]，与代码里的 n-k 相互矛盾。"
C096,E26,easy,constructed,条件遗漏,False,False,S1,True,CODE,实现不一致,,,,,,,,,,,人工复核：遗漏空输入条件，取模除零使代码在隐藏测试上直接抛异常。
C097,E27,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C098,E27,easy,constructed,边界错误,True,False,S2,False,S3,条件遗漏,,,,,,,,,,,人工复核：n=0 这一边界被写反，与题面约定以及代码里的特判分支直接冲突。
C099,E27,easy,constructed,幻觉,False,False,S2,False,S2,边界错误,,,,,,,,,,,人工复核：S2 虚构了题面没有的输入保证，代码因此漏掉 n=0，隐藏测试上结果错误。
C100,E28,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C101,E28,easy,constructed,概念错误,True,False,S3,True,,,,,,,,,,,,,人工复核：把无序集合当成有序结构是典型概念错误，代码里的 sorted 仍保证输出正确。
C102,E28,easy,constructed,复杂度错误,False,False,S2,False,S3,条件遗漏,,,,,,,,,,,人工复核：S2 把嵌套循环的代价算成线性，这是全场最早的错误主张；代码把重复匹配也收进结果，隐藏测试失败。
C103,E29,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C104,E29,easy,constructed,条件遗漏,True,False,S2,False,S2,边界错误,,,,,,,,,,,人工复核：遗漏全负数组这一条件，代码用 nums[0] 初始化所以结果仍在，但过程主张不成立。
C105,E29,easy,constructed,格式不符,False,False,S3,False,S3,条件遗漏,,,,,,,,,,,人工复核：返回被改成三元组，与 int 的返回约定不符，隐藏测试比较时直接不等。
C106,E30,easy,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C107,E30,easy,constructed,跳步推导,True,False,S3,True,,,,,,,,,,,,,人工复核：并列顺序这一关键结论只用“显然”带过，缺少任何可验证依据。
C108,E30,easy,constructed,实现不一致,False,False,S2,True,CODE,实现不一致,,,,,,,,,,,人工复核：步骤描述的实现与代码里的排序键不一致，导致输出按频次升序而非降序。
C109,M04,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C110,M04,medium,constructed,实现不一致,True,False,S2,True,,,,,,,,,,,,,人工复核：S2 描述了一个代码里根本不存在的实现机制，属于步骤与实现脱节。
C111,M04,medium,constructed,边界错误,False,False,S2,True,CODE,实现不一致,,,,,,,,,,,人工复核：左边界回退属于窗口边界错误，abba 一类输入会把含重复的窗口算进答案。
C112,M05,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C113,M05,medium,constructed,跳步推导,True,False,S2,True,,,,,,,,,,,,,人工复核：最左性这一关键结论没有任何可验证依据，只以模板正确性搪塞。
C114,M05,medium,constructed,题意误读,False,False,S2,True,CODE,实现不一致,,,,,,,,,,,人工复核：S2 读错了对最左性的要求，代码在含重复元素的输入上返回的位置偏右。
C115,M06,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C116,M06,medium,constructed,计算错误,True,False,S1,True,,,,,,,,,,,,,人工复核：S1 的作差端点差了 1，代码里仍是 low-1，说明这条主张与实现不一致。
C117,M06,medium,constructed,复杂度错误,False,False,S2,False,S3,条件遗漏,,,,,,,,,,,人工复核：S2 把平方级枚举算成线性，是最早的错误主张；代码把和等于 high 的下标对漏掉，隐藏测试失败。
C118,M07,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C119,M07,medium,constructed,边界错误,True,False,S2,False,S3,条件遗漏,,,,,,,,,,,人工复核：端点接触这一边界被判成不相交，与题面给出的示例直接冲突。
C120,M07,medium,constructed,条件遗漏,False,False,S1,True,CODE,实现不一致,,,,,,,,,,,人工复核：遗漏输入无序这一条件，代码在顺序打乱的隐藏用例上合并结果错误。
C121,M08,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C122,M08,medium,constructed,概念错误,True,False,S2,True,,,,,,,,,,,,,人工复核：S2 把短板原理讲反了，代码收缩的是短的一侧，因此结果仍然正确。
C123,M08,medium,constructed,题意误读,False,False,S1,False,S3,条件遗漏,,,,,,,,,,,人工复核：S1 读错了容量定义，代码按 max 计算的结果明显偏大，隐藏测试失败。
C124,M09,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C125,M09,medium,constructed,幻觉,True,False,S3,True,,,,,,,,,,,,,人工复核：S3 虚构了题面没有的输入约束，属于凭空断言，代码本身仍处理了负数情形。
C126,M09,medium,constructed,实现不一致,False,False,S2,False,S3,条件遗漏,,,,,,,,,,,人工复核：S2 描述了一个代码里不存在的哈希表，真实的计数逻辑只统计了从 0 开始的前缀和。
C127,M10,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C128,M10,medium,constructed,概念错误,True,False,S1,True,,,,,,,,,,,,,人工复核：S1 对单调栈保存内容与单调方向的描述都是错的，代码保存的是下标因而结果正确。
C129,M10,medium,constructed,跳步推导,False,False,S2,False,S3,条件遗漏,,,,,,,,,,,人工复核：S2 把“必须连续弹栈”这一关键结论一句话带过，代码也只弹一次，等待天数算不出来。
C130,M11,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C131,M11,medium,constructed,复杂度错误,True,False,S1,True,,,,,,,,,,,,,人工复核：S1 把对数级递归算成线性，属于复杂度误判，代码本身的折半写法是对的。
C132,M11,medium,constructed,计算错误,False,False,S3,True,CODE,实现不一致,,,,,,,,,,,人工复核：S3 的乘法次数算错，代码丢掉奇数补乘后 2^1 就得到 1，隐藏测试失败。
C133,M12,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C134,M12,medium,constructed,题意误读,True,False,S1,False,S3,条件遗漏,,,,,,,,,,,人工复核：S1 把题面明确列出的方向顺序读反，代码仍按正确顺序输出，因此结果不受影响。
C135,M12,medium,constructed,格式不符,False,False,S3,False,S3,条件遗漏,,,,,,,,,,,人工复核：返回被改成嵌套列表，与题面要求的一维列表不符，隐藏测试比较时直接不等。
C136,M13,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C137,M13,medium,constructed,题意误读,True,False,S2,False,S3,条件遗漏,,,,,,,,,,,人工复核：S2 把贪心说成每步跳到最远处，与「到达边界才计一次跳跃」的分层贪心不符，属题意误读。
C138,M13,medium,constructed,实现不一致,False,False,S1,False,S3,条件遗漏,,,,,,,,,,,人工复核：S1 声称维护 cur_end 与 farthest，代码却是 i += nums[i] 的朴素跳转，步骤与实现不符。
C139,M14,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C140,M14,medium,constructed,概念错误,True,False,S1,True,,,,,,,,,,,,,人工复核：S1 把出现频次当成分数名次，概念混淆。
C141,M14,medium,constructed,幻觉,False,False,S1,False,S3,条件遗漏,,,,,,,,,,,人工复核：S1 捏造了「输入已排序」这一题面没有的保证，代码据此统计频次，遇到乱序输入即错。
C142,M15,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C143,M15,medium,constructed,条件遗漏,True,False,S3,True,,,,,,,,,,,,,人工复核：S3 只交代了命中时的返回，遗漏了空模式串返回 0 与找不到返回 -1 两个必要条件。
C144,M15,medium,constructed,幻觉,False,False,S1,False,S3,条件遗漏,,,,,,,,,,,"人工复核：S1 捏造了「needle 非空」的题面保证，代码缺少空模式串判断，str_str('abc','') 会索引越界。"
C145,M16,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C146,M16,medium,constructed,计算错误,True,False,S2,False,S3,条件遗漏,,,,,,,,,,,人工复核：S2 把窗口长度算成 k+1，下标差与过期判断都错了一格。
C147,M16,medium,constructed,实现不一致,False,False,S1,True,CODE,实现不一致,,,,,,,,,,,人工复核：步骤说队列存下标且会弹出过期队首，代码却存数值且没有过期处理，步骤与实现不一致。
C148,M17,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C149,M17,medium,constructed,跳步推导,True,False,S2,False,S3,条件遗漏,,,,,,,,,,,人工复核：S2 用「显然」跳过了一半有序这一关键不变量，结论无可验证依据。
C150,M17,medium,constructed,幻觉,False,False,S1,False,S3,条件遗漏,,,,,,,,,,,人工复核：S1 声称题目保证数组整体升序，与题面矛盾，代码据此漏判旋转半边。
C151,M18,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C152,M18,medium,constructed,题意误读,True,False,S2,True,,,,,,,,,,,,,人工复核：S2 把合并读成去重，与题面「结果长度恒为 len(a)+len(b)」相悖。
C153,M18,medium,constructed,复杂度错误,False,False,S1,False,S3,条件遗漏,,,,,,,,,,,人工复核：S1 把 O((n+m)log(n+m)) 说成最优，双指针本可做到 O(n+m)。
C154,M19,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C155,M19,medium,constructed,概念错误,True,False,S1,True,,,,,,,,,,,,,人工复核：S1 把第 k 大与升序下标 k-1 对应起来，混淆了第 k 大与第 k 小。
C156,M19,medium,constructed,边界错误,False,False,S3,False,S3,条件遗漏,,,,,,,,,,,"人工复核：S3 的边界判断差了一位，k-1 等于 lt-1 时应继续收缩而非返回 pivot，kth_largest([1,2,3],1) 因此返回 2。"
C157,M20,medium,constructed,,True,True,,True,,,,,,,,,,,,,人工复核：步骤与参考实现完全一致，答案与过程均成立。
C158,M20,medium,constructed,条件遗漏,True,False,S2,True,,,,,,,,,,,,,人工复核：S2 遗漏了差分数组必须开 n+1 个位置这一必要条件。
